episode 10300, agent_0: -26.358614; sum reward: -26.35861354322983
episode 10400, agent_0: -23.708634; sum reward: -23.70863397878076
episode 10500, agent_0: -12.072608; sum reward: -12.072608454484694
episode 10600, agent_0: -17.613652; sum reward: -17.613651554494698
episode 10700, agent_0: -11.335845; sum reward: -11.335845106809709
episode 10800, agent_0: -0.442547; sum reward: -0.4425472053328797
episode 10900, agent_0: -17.952896; sum reward: -17.952896067620866
episode 11000, agent_0: -21.986233; sum reward: -21.98623316238511
episode 11100, agent_0: -21.331518; sum reward: -21.33151784564508
episode 11200, agent_0: -1.966719; sum reward: -1.9667191436300127
episode 11300, agent_0: -29.748745; sum reward: -29.748745236574877
episode 11400, agent_0: -5.450019; sum reward: -5.450019118906593
episode 11500, agent_0: -3.052200; sum reward: -3.052199854789193
episode 11600, agent_0: -1.507424; sum reward: -1.5074241544028386
episode 11700, agent_0: -9.662211; sum reward: -9.662210663367981
episode 11800, agent_0: -9.685272; sum reward: -9.685271827161227
episode 11900, agent_0: -0.815279; sum reward: -0.8152788105619366
episode 12000, agent_0: -1.231986; sum reward: -1.2319861026420074
episode 12100, agent_0: -1.409190; sum reward: -1.4091904485242648
episode 12200, agent_0: -7.768922; sum reward: -7.76892218660572
episode 12300, agent_0: -42.579454; sum reward: -42.57945380813203
episode 12400, agent_0: -0.194908; sum reward: -0.19490829698343773
episode 12500, agent_0: -1.695689; sum reward: -1.695689488265766
episode 12600, agent_0: -33.627152; sum reward: -33.6271516769174
episode 12700, agent_0: -1.896878; sum reward: -1.8968784433954224
episode 12800, agent_0: -25.017212; sum reward: -25.01721197657366
episode 12900, agent_0: -27.691084; sum reward: -27.69108405849133
episode 13000, agent_0: -6.870437; sum reward: -6.870437418594557
episode 13100, agent_0: -4.559792; sum reward: -4.559792242908727
episode 13200, agent_0: -8.162700; sum reward: -8.162700429575851
episode 13300, agent_0: -0.150441; sum reward: -0.15044121087814588
episode 13400, agent_0: -44.158249; sum reward: -44.15824933432997
episode 13500, agent_0: -0.807072; sum reward: -0.807072243687693
episode 13600, agent_0: -0.635532; sum reward: -0.6355317321353103
episode 13700, agent_0: -14.103938; sum reward: -14.103938083893212
episode 13800, agent_0: -7.865070; sum reward: -7.865069977161357
episode 13900, agent_0: -1.816559; sum reward: -1.8165591403277916
episode 14000, agent_0: -15.689539; sum reward: -15.689539038760655
episode 14100, agent_0: -29.424547; sum reward: -29.424547061103347
episode 14200, agent_0: -9.494429; sum reward: -9.494429087464976
episode 14300, agent_0: -4.061936; sum reward: -4.0619355018406775
episode 14400, agent_0: -8.855179; sum reward: -8.855179370981629
episode 14500, agent_0: -0.645090; sum reward: -0.6450902032987987
episode 14600, agent_0: -2.961836; sum reward: -2.9618363483664902
episode 14700, agent_0: -16.787802; sum reward: -16.787801983089516
episode 14800, agent_0: -2.772748; sum reward: -2.7727484871848396
episode 14900, agent_0: -22.260195; sum reward: -22.260194858734685
episode 15000, agent_0: -10.187827; sum reward: -10.187826994201588
episode 15100, agent_0: -25.833794; sum reward: -25.833793707221204
episode 15200, agent_0: -1.311870; sum reward: -1.3118702630871846
episode 15300, agent_0: -8.424268; sum reward: -8.424267914705979
episode 15400, agent_0: -10.384532; sum reward: -10.38453166937502
episode 15500, agent_0: -16.438342; sum reward: -16.438342015495373
episode 15600, agent_0: -16.386782; sum reward: -16.386781704972623
episode 15700, agent_0: -19.181487; sum reward: -19.1814872809619
episode 15800, agent_0: -6.084590; sum reward: -6.08459036893891
episode 15900, agent_0: -23.690448; sum reward: -23.690448089869367
episode 16000, agent_0: -0.630547; sum reward: -0.6305468567722665
episode 16100, agent_0: -34.675480; sum reward: -34.675479593733584
episode 16200, agent_0: -5.571875; sum reward: -5.571875374130542
episode 16300, agent_0: -0.563528; sum reward: -0.563527985462104
episode 16400, agent_0: -14.599094; sum reward: -14.599094000283335
episode 16500, agent_0: -0.647426; sum reward: -0.6474259271240651
episode 16600, agent_0: -6.041215; sum reward: -6.041214805275208
episode 16700, agent_0: -9.127457; sum reward: -9.127456725694227
episode 16800, agent_0: -2.447194; sum reward: -2.447194476433563
episode 16900, agent_0: -6.469850; sum reward: -6.469849628676765
episode 17000, agent_0: -9.701601; sum reward: -9.701600792589785
episode 17100, agent_0: -44.997624; sum reward: -44.997624163288236
episode 17200, agent_0: -20.118711; sum reward: -20.11871109721737
episode 17300, agent_0: -6.130015; sum reward: -6.130015302465532
episode 17400, agent_0: -35.067550; sum reward: -35.06754956526149
episode 17500, agent_0: -14.274471; sum reward: -14.274471058043757
episode 17600, agent_0: -7.984314; sum reward: -7.984313686447578
episode 17700, agent_0: -34.511984; sum reward: -34.51198361489399
episode 17800, agent_0: -10.907430; sum reward: -10.907430496285855
